town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Camden,5242,82344,47664.0,52.2,520600,73.4842360549717,51.01442741208295,8.26336721166593,95.05913773368944,8.950254602428515,62.09898035314598,-59.258218600730544,0
Canaan,2063,57781,29477.0,44.2,159900,85.68257491675915,61.95845697329377,3.5440613026819925,91.90499272903538,12.91913214990138,24.056603773584907,32.77591973244147,1
Canton,1191,52458,27336.0,41.4,165000,81.41592920353983,50.05055611729019,5.656565656565657,98.0688497061293,8.365758754863812,23.738532110091743,38.989169675090245,1
Cape Elizabeth,9606,145821,77799.0,47.4,731600,88.04930332261523,65.21035598705501,2.522746071133168,92.85863002290236,5.184718723761545,74.08223201174742,-58.25852782764812,0
Caratunk,101,73235,39909.0,67.8,470000,88.33333333333333,43.56435643564357,0.0,94.05940594059405,0.0,61.855670103092784,24.59016393442623,1
Caribou,7382,53709,36009.0,51.3,134100,72.2755505364201,51.93092621664051,3.4461910519951635,91.83148198320238,15.501604576531324,28.792951541850222,20.133710465415277,1
Carmel,2941,82188,39752.0,46.4,256800,87.93103448275862,65.22954091816368,1.8971848225214198,93.84563073784426,13.600816048962939,17.172167707404103,36.05292171995589,1
Carrabassett Valley,637,88750,81605.0,59.8,343600,94.47513812154696,49.75124378109453,1.6666666666666667,98.43014128728414,3.9538714991762767,77.96296296296296,-37.94392523364487,0
Carthage,845,79107,34857.0,42.8,144300,88.09523809523809,63.76021798365122,1.282051282051282,93.37278106508876,3.5502958579881656,13.375796178343949,43.7308868501529,1
Casco,3696,69313,45727.0,52.0,355500,89.95790739627179,65.64954682779455,1.5186378278877128,82.33225108225109,10.98060639169626,32.91721419185282,6.660785178650201,1
Castine,1362,113750,39304.0,21.2,603500,80.39772727272727,52.05047318611987,2.727272727272727,86.04992657856094,14.140127388535031,74.45742904841403,-48.20415879017014,0
Castle Hill,281,54250,34612.0,57.8,145300,94.32624113475178,51.85185185185185,0.0,98.57651245551602,4.270462633451958,26.72811059907834,14.285714285714285,1
